Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","BH23APC","BH23APC",43.8150,20.3200,90.0000,bottom
"BT2","BH23APC","BH23APC",29.8450,20.3200,-90.0000,bottom
"BT3","BH23APC","BH23APC",15.8750,20.3200,-90.0000,bottom
"C1","4u7/50V","SMD-0805",48.8950,26.9875,90.0000,top
"C2","470uF/50V - GT470/50","CP_Radial_D10.0mm_P5.00mm",36.8300,33.0200,-90.0000,top
"C3","-","TantalC_SizeC_Reflow",28.5750,29.8602,-90.0000,top
"C4","4u7/50V","SMD-0805",45.7200,30.4800,-90.0000,top
"C5","100nF/50V","SMD-0805",43.1800,30.4800,-90.0000,top
"C6","100n/50V","SMD-0805",46.3550,26.9875,90.0000,top
"C7","4u7/50V","SMD-0805",48.8950,21.2725,90.0000,top
"C8","100n/50V","SMD-0805",46.3550,21.2725,90.0000,top
"C9","4u7/50V","SMD-0805",48.8950,15.5575,90.0000,top
"C10","100n/50V","SMD-0805",46.3550,15.5575,90.0000,top
"C11","4u7/50V","SMD-0805",48.8950,9.8425,90.0000,top
"C12","100n/50V","SMD-0805",46.3550,9.8425,90.0000,top
"J1","HEADER_2x04_PARALLEL","Straight_2x04",5.0800,22.2250,180.0000,top
"J2","JUMP2_2x1","Zkrat",34.9250,22.2250,90.0000,top
"J3","JUMP2_2x1","Zkrat",34.9250,19.6850,90.0000,top
"J4","JUMP2_2x1","Zkrat",34.9250,17.1450,90.0000,top
"J5","JUMP2_2x1","Zkrat",34.9250,14.6050,90.0000,top
"M1","HOLE","MountingHole_3mm",55.8800,35.5600,0.0000,top
"M2","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",55.8800,5.0800,0.0000,top
"R1","R","SMD-0805",55.8800,25.7175,90.0000,bottom
"R2","R","SMD-0805",48.5775,30.4800,180.0000,top
"R3","R","SMD-0805",58.4200,25.7175,-90.0000,bottom
"R4","R","SMD-0805",48.5775,24.1300,180.0000,top
"R5","R","SMD-0805",56.8325,19.6850,0.0000,bottom
"R6","R","SMD-0805",48.5775,18.4150,180.0000,top
"R7","R","SMD-0805",56.8325,13.9700,0.0000,bottom
"R8","R","SMD-0805",48.5775,12.7000,180.0000,top
"RV1","3296W","Potentiometer_Bourns_3296W_Vertical",57.7850,28.5750,0.0000,top
"RV2","3296W","Potentiometer_Bourns_3296W_Vertical",57.7850,22.8600,0.0000,top
"RV3","3296W","Potentiometer_Bourns_3296W_Vertical",57.7850,17.1450,0.0000,top
"RV4","3296W","Potentiometer_Bourns_3296W_Vertical",57.7850,11.4300,0.0000,top
"U1","ARRAYC-60035-4P-BGA","ArrayC-60035-4P-BGA",20.9550,17.1450,-90.0000,top
