Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Single-cell battery,Battery_Cell,BT1BT2BT3,BH23APC,BH23APC,3,~
2,,CP-Device,C3,-,TantalC_SizeC_Reflow,1,
3,Unpolarized capacitor,C,C6C8C10C12,100n/50V,SMD-0805,4,~
4,Unpolarized capacitor,C,C5,100nF/50V,SMD-0805,1,~
5,,CP-Device,C2,470uF/50V - GT470/50,CP_Radial_D10.0mm_P5.00mm,1,
6,Unpolarized capacitor,C,C1C4C7C9C11,4u7/50V,SMD-0805,5,~
7,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J1,HEADER_2x04_PARALLEL,Straight_2x04,1,
8,MLAB modified doubled pinheader connector,JUMP2_2x1,J2J3J4J5,JUMP2_2x1,Zkrat,4,
9,Resistor,R,R1R2R3R4R5R6R7R8,R,SMD-0805,8,~
10,,R_POT-Device,RV1RV2RV3RV4,3296W,Potentiometer_Bourns_3296W_Vertical,4,
11,,ARRAYC-60035-4P-BGA,U1,ARRAYC-60035-4P-BGA,ArrayC-60035-4P-BGA,1,
